url,project_name,commit
https://github.com/apache/ant,apache/ant,c7c8803619211b37e936ba7735db25cb20c82b3f
https://github.com/apache/ant,apache/ant,020f9a52c4a54560f617aea642a180e96294e9cc
https://github.com/apache/ant,apache/ant,a4135b3901bd2a51a3d053d99316ddf12886dd63
https://github.com/apache/ant,apache/ant,ca5695fa0b2244e641914350434aa0dc8071d12c
https://github.com/apache/ant,apache/ant,ebe2b05bb330246f04db1fb9296e980e95cfa154
https://github.com/apache/ant,apache/ant,6cbeee38fa5502baa5d75036ad2c0418cf808d56
https://github.com/apache/ant,apache/ant,e6ac327bfc8168264b515036109d09d761bafef6
https://github.com/apache/ant,apache/ant,c6c232893c39257745a8f7a618bcdb5c59791cae
https://github.com/apache/ant,apache/ant,5b331f6baa094f399a85688f1642f719680d9574
https://github.com/apache/ant,apache/ant,4a9153f9f2f1c19286f5e2cb6d203ecd4a890103
https://github.com/apache/ant,apache/ant,12a8163d89f051f1950a8e2b136edbe08b6cc711
https://github.com/apache/ant,apache/ant,1ba5087df429abe38dd22fe5c9ddbc343280f0ae
https://github.com/apache/ant,apache/ant,784f04c929eb440b8c3b792671053f789160da4f
https://github.com/apache/ant,apache/ant,08eef4e8a6bbe820b1622250bdc08de9b0d0cb15
https://github.com/apache/ant,apache/ant,f9121ee81e58e6cb4369a4e043e0a88cbfe3e503
https://github.com/apache/ant,apache/ant,59fcd9ab821784fbf7d5ccee60b4f63c0f9b7735
https://github.com/apache/ant,apache/ant,3a1db4b0d84b30f63fc3a8495b50243e5eded40b
https://github.com/apache/ant,apache/ant,ba37bf7991e099b567f8cd5a09178893ff55bb9c
https://github.com/apache/ant,apache/ant,760f5d26a1695095eecf18a235013fb43c9621a5
https://github.com/apache/ant,apache/ant,33107ab10098823c23924741100a6c3faf9fd267
https://github.com/apache/ant,apache/ant,9f2aca50e33a1be8154bd90b93a1f658e4b6d910
https://github.com/apache/ant,apache/ant,09a7def3cd210a903db5fa8969a5292b93cb8192
https://github.com/apache/ant,apache/ant,f4fc4080573cc5711f0e2b888fe9d0af6720eaca
https://github.com/apache/ant,apache/ant,6a50cd22697b0d43142294879c8c288588b99325
https://github.com/apache/ant,apache/ant,c4266e92503f9365db8450324de2709fe4ff5423
https://github.com/apache/ant,apache/ant,2067d20b5c41981af8655d2f1daa763f17ccfcc2
https://github.com/apache/ant,apache/ant,f0c70acd8f6db8be1f444aa3719daea0fcdc47a3
https://github.com/apache/ant,apache/ant,5db106732ce0f855fd2b03fd68104a708acf7996
https://github.com/apache/ant,apache/ant,0b31d6f97a5e41f33dabeda8daae2e13194c1bb5
https://github.com/apache/ant,apache/ant,4ca5683c2a54ff4a141ed562a0f3b431b153b2c2
https://github.com/apache/ant,apache/ant,c2e92b31856632faa104d9d1a93c7e1480aa8b92
https://github.com/apache/ant,apache/ant,38c2a2a22283450dab6afcf3d3ec094c67dc1e4e
https://github.com/apache/ant,apache/ant,e580392c2d28c2a3530ebe0e1005bae0d45c5b8b
